
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
198,East Tennessee St.,13,0,0,1,574,40,Donnie Abraham,54,Earl Ferrell,32,Donnie Abraham,132
199,East. Illinois,23,2,0,4,903,9,Tony Romo,94,Tony Romo,5,Jeff Gossett,212
200,East. Kentucky,35,2,0,5,1563,31,John Jackson,59,Jason Dunn,11,John Jackson,203
201,East. Michigan,39,4,0,1,2074,44,Dave Pureifory,52,Kevin Walter,26,Kevin Walter,152
202,East. Montana,2,0,0,0,5,0,Rick Duncan,0,Rick Duncan,0,Rick Duncan,4
203,East. New Mexico,7,0,0,4,295,4,Michael Sinclair,57,Pete Jaquess,2,Michael Sinclair,148
204,East. Washington,23,5,0,1,953,10,Michael Roos,62,Jesse Chatman,4,Michael Roos,148
205,Edinboro,2,0,0,0,48,0,Jim Romaniszyn,9,David Green,0,Jim Romaniszyn,39
206,Edward Waters,1,0,0,1,97,17,Cannonball Butler,32,Cannonball Butler,17,Cannonball Butler,97
207,El Camino Col. (CA),2,0,0,0,46,2,Jim Allison,6,Jim Allison,2,Jim Allison,43
208,Elizabeth City St.,8,0,0,0,524,21,Jethro Pugh,71,Reggie Langhorne,20,Jethro Pugh,183
209,Elmhurst,2,0,0,0,49,5,Steve Finch,1,Swede Johnston,5,Swede Johnston,48
210,Elon,12,1,0,0,230,15,Rich McGeorge,24,Rich McGeorge,13,Rich McGeorge,116
211,Emporia St.,15,1,0,5,669,43,Leon Lett,40,Dale Burnett,27,Leon Lett,121
212,Evangel (MO),3,0,0,0,19,3,Derrick Clark,2,Derrick Clark,3,Derrick Clark,16
213,Evansville,4,0,0,0,92,4,Marty Amsler,16,Bibbles Bawel,3,Marty Amsler,37
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
214,Fairmont St.,3,0,0,0,37,0,Don Overton,1,Jim Lipinski,0,Don Overton,22
215,Fayetteville St.,3,0,0,0,32,1,Blenda Gay,12,Blenda Gay,1,Blenda Gay,30
216,Ferris St.,5,0,0,0,128,7,Ricky Patton,8,Ricky Patton,7,Ricky Patton,52
217,Ferrum,13,0,0,5,689,65,Chris Warren,59,Chris Warren,58,Chris Warren,162
218,Findlay,8,0,0,0,59,2,Keith Cupp,2,Ed Susteric,1,Odell Barry,26
219,Fisk,4,0,0,3,201,3,Robert James,41,Neal Craig,2,Robert James,83
220,Flager,1,0,0,1,143,0,Scott Player,18,Scott Player,0,Scott Player,143
221,Florida,292,43,2,67,15316,1263,Emmitt Smith,129,Emmitt Smith,175,Lomas Brown,263
222,Florida A&amp;M,73,4,1,20,3707,242,Ken Riley,92,Bob Hayes,76,Ken Riley,207
223,Florida Atlantic,11,4,0,4,312,30,Ed Newman,75,Alfred Morris,28,Ed Newman,167
224,Florida International,7,5,0,0,207,20,T.Y. Hilton,29,T.Y. Hilton,20,Antwan Barnes,88
225,Florida St.,278,48,4,75,14743,913,Derrick Brooks,141,Fred Biletnikoff,77,Sebastian Janikowski,236
226,Fordham,70,1,1,4,1549,89,Kurt Sohn,10,Joe Maniaci,16,Alex Wojciechowicz,134
227,Fort Hays St.,5,0,0,0,230,6,Les Miller,31,Frankie Neal,3,Les Miller,152
228,Fort Lewis,4,0,0,0,108,16,Herman Heard,24,Herman Heard,16,Herman Heard,87
229,Fort Valley St.,9,1,1,11,657,8,Greg Lloyd,93,Eddie Anderson,3,Rayfield Wright,166
230,Fort Valley State (GA),4,1,0,0,386,4,Tyrone Poole,42,Ricardo Lockette,3,Tyrone Poole,144
231,Franklin &amp; Marshall,8,0,0,0,77,0,Alex Schibanoff,0,Elmer Jones,0,Elmer Jones,31
232,Franklin (IN),3,0,0,0,32,1,Paul Franklin,0,Paul Franklin,1,Paul Franklin,23
233,Franklin (OH),1,0,0,0,9,0,Ralph Isselhardt,0,Ralph Isselhardt,0,Ralph Isselhardt,9
234,Frederick CC (MD),1,0,0,0,16,0,Wade Traynham,3,Wade Traynham,0,Wade Traynham,16
235,Fresno St.,131,18,0,15,5619,356,Logan Mankins,98,Henry Ellard,69,Lorenzo Neal,239
236,Frostburg St.,3,0,0,0,34,1,Bob Maddox,7,Bob Maddox,1,Bob Maddox,28
237,Fullerton JC,2,0,0,0,78,18,Howie Livingston,0,Howie Livingston,18,Howie Livingston,72
238,Furman,24,3,0,1,761,46,Orlando Ruff,23,Stanford Jennings,20,Stanford Jennings,123
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
239,Gardner-Webb,5,0,0,0,254,45,Derrick Fenner,30,Derrick Fenner,42,Derrick Fenner,120
240,General Motors Institute,1,0,0,0,5,0,Vince Lensing,0,Vince Lensing,0,Vince Lensing,5
241,Geneseo St.,1,0,0,0,3,0,Jim Leonard,0,Jim Leonard,0,Jim Leonard,3
242,Geneva,9,0,1,0,192,7,Kris Griffin,5,Mack Flenniken,4,Cal Hubbard,105
243,George Fox,1,0,0,0,48,0,Aaron Elling,2,Aaron Elling,0,Aaron Elling,48
244,George Washington,23,0,1,5,574,41,Garry Lyle,22,Tuffy Leemans,20,Bob Nowaskey,95
245,Georgetown (DC),59,0,0,5,1138,54,Heinie Jawish,0,Jim Castiglia,13,Rudy Comstock,152
246,Georgetown (KY),2,0,0,0,117,0,Bruce McNorton,38,Louie Fritsch,0,Bruce McNorton,116
247,Georgia,297,42,2,96,15803,1142,Fran Tarkenton,149,Hines Ward,86,John Kasay,301
248,Georgia Southern,14,3,0,1,675,8,Fred Stokes,33,Adrian Peterson,8,Rob Bironas,144
249,Georgia St.,3,2,0,0,0,0,Ulrick John,0,Ulrick John,0,Emmanuel Ogbuehi,0
250,Georgia Tech,178,18,2,44,9052,574,Pat Swilling,99,Calvin Johnson,75,Keith Brooking,225
